# group,element,VR,keyword,VM,name
0002,0102,OB,PrivateInformation,1,"Private Information"
0004,1130,CS,FileSetID,1,"File-set ID"
0004,1141,CS,FileSetDescriptorFileID,1-8,"File-set Descriptor File ID"
0004,1142,CS,SpecificCharacterSetOfFileSetDescriptorFile,1,"Specific Character Set of File-set Descriptor File"
0004,1200,UL,OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity,1,"Offset of the First Directory Record of the Root Directory Entity"
0004,1202,UL,OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity,1,"Offset of the Last Directory Record of the Root Directory Entity"
0004,1212,US,FileSetConsistencyFlag,1,"File-set Consistency Flag"
0004,1220,SQ,DirectoryRecordSequence,1,"Directory Record Sequence"
0004,1400,UL,OffsetOfTheNextDirectoryRecord,1,"Offset of the Next Directory Record"
0004,1410,US,RecordInUseFlag,1,"Record In-use Flag"
0004,1420,UL,OffsetOfReferencedLowerLevelDirectoryEntity,1,"Offset of Referenced Lower-Level Directory Entity"
0004,1430,CS,DirectoryRecordType,1,"Directory Record Type"
0004,1432,UI,PrivateRecordUID,1,"Private Record UID"
0004,1500,CS,ReferencedFileID,1-8,"Referenced File ID"
0004,1504,UL,MRDRDirectoryRecordOffset,1,"MRDR Directory Record Offset"
0004,1510,UI,ReferencedSOPClassUIDInFile,1,"Referenced SOP Class UID in File"
0004,1511,UI,ReferencedSOPInstanceUIDInFile,1,"Referenced SOP Instance UID in File"
0004,1512,UI,ReferencedTransferSyntaxUIDInFile,1,"Referenced Transfer Syntax UID in File"
0004,151a,UI,ReferencedRelatedGeneralSOPClassUIDInFile,1-n,"Referenced Related General SOP Class UID in File"
0004,1600,UL,NumberOfReferences,1,"Number of References"
0008,0001,UL,LengthToEnd,1,"Length to End"
0008,0005,CS,SpecificCharacterSet,1-n,"Specific Character Set"
0008,0006,SQ,LanguageCodeSequence,1,"Language Code Sequence"
0008,0008,CS,ImageType,2-n,"Image Type"
0008,0010,SH,RecognitionCode,1,"Recognition Code"
0008,0012,DA,InstanceCreationDate,1,"Instance Creation Date"
0008,0013,TM,InstanceCreationTime,1,"Instance Creation Time"
0008,0014,UI,InstanceCreatorUID,1,"Instance Creator UID"
0008,0015,DT,InstanceCoercionDateTime,1,"Instance Coercion DateTime"
0008,0016,UI,SOPClassUID,1,"SOP Class UID"
0008,0018,UI,SOPInstanceUID,1,"SOP Instance UID"
0008,001a,UI,RelatedGeneralSOPClassUID,1-n,"Related General SOP Class UID"
0008,001b,UI,OriginalSpecializedSOPClassUID,1,"Original Specialized SOP Class UID"
0008,0020,DA,StudyDate,1,"Study Date"
0008,0021,DA,SeriesDate,1,"Series Date"
0008,0022,DA,AcquisitionDate,1,"Acquisition Date"
0008,0023,DA,ContentDate,1,"Content Date"
0008,0024,DA,OverlayDate,1,"Overlay Date"
0008,0025,DA,CurveDate,1,"Curve Date"
0008,002a,DT,AcquisitionDateTime,1,"Acquisition DateTime"
0008,0030,TM,StudyTime,1,"Study Time"
0008,0031,TM,SeriesTime,1,"Series Time"
0008,0032,TM,AcquisitionTime,1,"Acquisition Time"
0008,0033,TM,ContentTime,1,"Content Time"
0008,0034,TM,OverlayTime,1,"Overlay Time"
0008,0035,TM,CurveTime,1,"Curve Time"
0008,0040,US,DataSetType,1,"Data Set Type"
0008,0041,LO,DataSetSubtype,1,"Data Set Subtype"
0008,0042,CS,NuclearMedicineSeriesType,1,"Nuclear Medicine Series Type"
0008,0050,SH,AccessionNumber,1,"Accession Number"
0008,0051,SQ,IssuerOfAccessionNumberSequence,1,"Issuer of Accession Number Sequence"
0008,0052,CS,QueryRetrieveLevel,1,"Query/Retrieve Level"
0008,0053,CS,QueryRetrieveView,1,"Query/Retrieve View"
0008,0054,AE,RetrieveAETitle,1-n,"Retrieve AE Title"
0008,0055,AE,StationAETitle,1,"Station  AE Title"
0008,0056,CS,InstanceAvailability,1,"Instance Availability"
0008,0058,UI,FailedSOPInstanceUIDList,1-n,"Failed SOP Instance UID List"
0008,0060,CS,Modality,1,"Modality"
0008,0061,CS,ModalitiesInStudy,1-n,"Modalities in Study"
0008,0062,UI,SOPClassesInStudy,1-n,"SOP Classes in Study"
0008,0063,SQ,AnatomicRegionsInStudyCodeSequence,1,"Anatomic Regions in Study Code Sequence"
0008,0064,CS,ConversionType,1,"Conversion Type"
0008,0068,CS,PresentationIntentType,1,"Presentation Intent Type"
0008,0070,LO,Manufacturer,1,"Manufacturer"
0008,0080,LO,InstitutionName,1,"Institution Name"
0008,0081,ST,InstitutionAddress,1,"Institution Address"
0008,0082,SQ,InstitutionCodeSequence,1,"Institution Code Sequence"
0008,0090,PN,ReferringPhysicianName,1,"Referring Physician's Name"
0008,0092,ST,ReferringPhysicianAddress,1,"Referring Physician's Address"
0008,0094,SH,ReferringPhysicianTelephoneNumbers,1-n,"Referring Physician's Telephone Numbers"
0008,0096,SQ,ReferringPhysicianIdentificationSequence,1,"Referring Physician Identification Sequence"
0008,009c,PN,ConsultingPhysicianName,1-n,"Consulting Physician's Name"
0008,009d,SQ,ConsultingPhysicianIdentificationSequence,1,"Consulting Physician Identification Sequence"
0008,0100,SH,CodeValue,1,"Code Value"
0008,0101,LO,ExtendedCodeValue,1,"Extended Code Value"
0008,0102,SH,CodingSchemeDesignator,1,"Coding Scheme Designator"
0008,0103,SH,CodingSchemeVersion,1,"Coding Scheme Version"
0008,0104,LO,CodeMeaning,1,"Code Meaning"
0008,0105,CS,MappingResource,1,"Mapping Resource"
0008,0106,DT,ContextGroupVersion,1,"Context Group Version"
0008,0107,DT,ContextGroupLocalVersion,1,"Context Group Local Version"
0008,0108,LT,ExtendedCodeMeaning,1,"Extended Code Meaning"
0008,0109,SQ,CodingSchemeResourcesSequence,1,"Coding Scheme Resources Sequence"
0008,010a,CS,CodingSchemeURLType,1,"Coding Scheme URL Type"
0008,010b,CS,ContextGroupExtensionFlag,1,"Context Group Extension Flag"
0008,010c,UI,CodingSchemeUID,1,"Coding Scheme UID"
0008,010d,UI,ContextGroupExtensionCreatorUID,1,"Context Group Extension Creator UID"
0008,010e,UR,CodingSchemeURL,1,"Coding Scheme URL"
0008,010f,CS,ContextIdentifier,1,"Context Identifier"
0008,0110,SQ,CodingSchemeIdentificationSequence,1,"Coding Scheme Identification Sequence"
0008,0112,LO,CodingSchemeRegistry,1,"Coding Scheme Registry"
0008,0114,ST,CodingSchemeExternalID,1,"Coding Scheme External ID"
0008,0115,ST,CodingSchemeName,1,"Coding Scheme Name"
0008,0116,ST,CodingSchemeResponsibleOrganization,1,"Coding Scheme Responsible Organization"
0008,0117,UI,ContextUID,1,"Context UID"
0008,0118,UI,MappingResourceUID,1,"Mapping Resource UID"
0008,0119,UC,LongCodeValue,1,"Long Code Value"
0008,0120,UR,URNCodeValue,1,"URN Code Value"
0008,0121,SQ,EquivalentCodeSequence,1,"Equivalent Code Sequence"
0008,0122,LO,MappingResourceName,1,"Mapping Resource Name"
0008,0123,SQ,ContextGroupIdentificationSequence,1,"Context Group Identification Sequence"
0008,0124,SQ,MappingResourceIdentificationSequence,1,"Mapping Resource Identification Sequence"
0008,0201,SH,TimezoneOffsetFromUTC,1,"Timezone Offset From UTC"
0008,0220,SQ,ResponsibleGroupCodeSequence,1,"Responsible Group Code Sequence"
0008,0221,CS,EquipmentModality,1,"Equipment Modality"
0008,0222,LO,ManufacturerRelatedModelGroup,1,"Manufacturer's Related Model Group"
0008,0300,SQ,PrivateDataElementCharacteristicsSequence,1,"Private Data Element Characteristics Sequence"
0008,0301,US,PrivateGroupReference,1,"Private Group Reference"
0008,0302,LO,PrivateCreatorReference,1,"Private Creator Reference"
0008,0303,CS,BlockIdentifyingInformationStatus,1,"Block Identifying Information Status"
0008,0304,US,NonidentifyingPrivateElements,1-n,"Nonidentifying Private Elements"
0008,0305,SQ,DeidentificationActionSequence,1,"Deidentification Action Sequence"
0008,0306,US,IdentifyingPrivateElements,1-n,"Identifying Private Elements"
0008,0307,CS,DeidentificationAction,1,"Deidentification Action"
0008,0308,US,PrivateDataElement,1,"Private Data Element"
0008,0309,UL,PrivateDataElementValueMultiplicity,1-3,"Private Data Element Value Multiplicity"
0008,030a,CS,PrivateDataElementValueRepresentation,1,"Private Data Element Value Representation"
0008,030b,UL,PrivateDataElementNumberOfItems,1-2,"Private Data Element Number of Items"
0008,030c,UC,PrivateDataElementName,1,"Private Data Element Name"
0008,030d,UC,PrivateDataElementKeyword,1,"Private Data Element Keyword"
0008,030e,UT,PrivateDataElementDescription,1,"Private Data Element Description"
0008,030f,UT,PrivateDataElementEncoding,1,"Private Data Element Encoding"
0008,0310,SQ,PrivateDataElementDefinitionSequence,1,"Private Data Element Definition Sequence"
0008,1000,AE,NetworkID,1,"Network ID"
0008,1010,SH,StationName,1,"Station Name"
0008,1030,LO,StudyDescription,1,"Study Description"
0008,1032,SQ,ProcedureCodeSequence,1,"Procedure Code Sequence"
0008,103e,LO,SeriesDescription,1,"Series Description"
0008,103f,SQ,SeriesDescriptionCodeSequence,1,"Series Description Code Sequence"
0008,1040,LO,InstitutionalDepartmentName,1,"Institutional Department Name"
0008,1048,PN,PhysiciansOfRecord,1-n,"Physician(s) of Record"
0008,1049,SQ,PhysiciansOfRecordIdentificationSequence,1,"Physician(s) of Record Identification Sequence"
0008,1050,PN,PerformingPhysicianName,1-n,"Performing Physician's Name"
0008,1052,SQ,PerformingPhysicianIdentificationSequence,1,"Performing Physician Identification Sequence"
0008,1060,PN,NameOfPhysiciansReadingStudy,1-n,"Name of Physician(s) Reading Study"
0008,1062,SQ,PhysiciansReadingStudyIdentificationSequence,1,"Physician(s) Reading Study Identification Sequence"
0008,1070,PN,OperatorsName,1-n,"Operators' Name"
0008,1072,SQ,OperatorIdentificationSequence,1,"Operator Identification Sequence"
0008,1080,LO,AdmittingDiagnosesDescription,1-n,"Admitting Diagnoses Description"
0008,1084,SQ,AdmittingDiagnosesCodeSequence,1,"Admitting Diagnoses Code Sequence"
0008,1090,LO,ManufacturerModelName,1,"Manufacturer's Model Name"
0008,1100,SQ,ReferencedResultsSequence,1,"Referenced Results Sequence"
0008,1110,SQ,ReferencedStudySequence,1,"Referenced Study Sequence"
0008,1111,SQ,ReferencedPerformedProcedureStepSequence,1,"Referenced Performed Procedure Step Sequence"
0008,1115,SQ,ReferencedSeriesSequence,1,"Referenced Series Sequence"
0008,1120,SQ,ReferencedPatientSequence,1,"Referenced Patient Sequence"
0008,1125,SQ,ReferencedVisitSequence,1,"Referenced Visit Sequence"
0008,1130,SQ,ReferencedOverlaySequence,1,"Referenced Overlay Sequence"
0008,1134,SQ,ReferencedStereometricInstanceSequence,1,"Referenced Stereometric Instance Sequence"
0008,113a,SQ,ReferencedWaveformSequence,1,"Referenced Waveform Sequence"
0008,1140,SQ,ReferencedImageSequence,1,"Referenced Image Sequence"
0008,1145,SQ,ReferencedCurveSequence,1,"Referenced Curve Sequence"
0008,114a,SQ,ReferencedInstanceSequence,1,"Referenced Instance Sequence"
0008,114b,SQ,ReferencedRealWorldValueMappingInstanceSequence,1,"Referenced Real World Value Mapping Instance Sequence"
0008,1150,UI,ReferencedSOPClassUID,1,"Referenced SOP Class UID"
0008,1155,UI,ReferencedSOPInstanceUID,1,"Referenced SOP Instance UID"
0008,1156,SQ,DefinitionSourceSequence,1,"Definition Source Sequence"
0008,115a,UI,SOPClassesSupported,1-n,"SOP Classes Supported"
0008,1160,IS,ReferencedFrameNumber,1-n,"Referenced Frame Number"
0008,1161,UL,SimpleFrameList,1-n,"Simple Frame List"
0008,1162,UL,CalculatedFrameList,3-3n,"Calculated Frame List"
0008,1163,FD,TimeRange,2,"Time Range"
0008,1164,SQ,FrameExtractionSequence,1,"Frame Extraction Sequence"
0008,1167,UI,MultiFrameSourceSOPInstanceUID,1,"Multi-frame Source SOP Instance UID"
0008,1190,UR,RetrieveURL,1,"Retrieve URL"
0008,1195,UI,TransactionUID,1,"Transaction UID"
0008,1196,US,WarningReason,1,"Warning Reason"
0008,1197,US,FailureReason,1,"Failure Reason"
0008,1198,SQ,FailedSOPSequence,1,"Failed SOP Sequence"
0008,1199,SQ,ReferencedSOPSequence,1,"Referenced SOP Sequence"
0008,119a,SQ,OtherFailuresSequence,1,"Other Failures Sequence"
0008,1200,SQ,StudiesContainingOtherReferencedInstancesSequence,1,"Studies Containing Other Referenced Instances Sequence"
0008,1250,SQ,RelatedSeriesSequence,1,"Related Series Sequence"
0008,2110,CS,LossyImageCompressionRetired,1,"Lossy Image Compression (Retired)"
0008,2111,ST,DerivationDescription,1,"Derivation Description"
0008,2112,SQ,SourceImageSequence,1,"Source Image Sequence"
0008,2120,SH,StageName,1,"Stage Name"
0008,2122,IS,StageNumber,1,"Stage Number"
0008,2124,IS,NumberOfStages,1,"Number of Stages"
0008,2127,SH,ViewName,1,"View Name"
0008,2128,IS,ViewNumber,1,"View Number"
0008,2129,IS,NumberOfEventTimers,1,"Number of Event Timers"
0008,212a,IS,NumberOfViewsInStage,1,"Number of Views in Stage"
0008,2130,DS,EventElapsedTimes,1-n,"Event Elapsed Time(s)"
0008,2132,LO,EventTimerNames,1-n,"Event Timer Name(s)"
0008,2133,SQ,EventTimerSequence,1,"Event Timer Sequence"
0008,2134,FD,EventTimeOffset,1,"Event Time Offset"
0008,2135,SQ,EventCodeSequence,1,"Event Code Sequence"
0008,2142,IS,StartTrim,1,"Start Trim"
0008,2143,IS,StopTrim,1,"Stop Trim"
0008,2144,IS,RecommendedDisplayFrameRate,1,"Recommended Display Frame Rate"
0008,2200,CS,TransducerPosition,1,"Transducer Position"
0008,2204,CS,TransducerOrientation,1,"Transducer Orientation"
0008,2208,CS,AnatomicStructure,1,"Anatomic Structure"
0008,2218,SQ,AnatomicRegionSequence,1,"Anatomic Region Sequence"
0008,2220,SQ,AnatomicRegionModifierSequence,1,"Anatomic Region Modifier Sequence"
0008,2228,SQ,PrimaryAnatomicStructureSequence,1,"Primary Anatomic Structure Sequence"
0008,2229,SQ,AnatomicStructureSpaceOrRegionSequence,1,"Anatomic Structure, Space or Region Sequence"
0008,2230,SQ,PrimaryAnatomicStructureModifierSequence,1,"Primary Anatomic Structure Modifier Sequence"
0008,2240,SQ,TransducerPositionSequence,1,"Transducer Position Sequence"
0008,2242,SQ,TransducerPositionModifierSequence,1,"Transducer Position Modifier Sequence"
0008,2244,SQ,TransducerOrientationSequence,1,"Transducer Orientation Sequence"
0008,2246,SQ,TransducerOrientationModifierSequence,1,"Transducer Orientation Modifier Sequence"
0008,2251,SQ,AnatomicStructureSpaceOrRegionCodeSequenceTrial,1,"Anatomic Structure Space Or Region Code Sequence (Trial)"
0008,2253,SQ,AnatomicPortalOfEntranceCodeSequenceTrial,1,"Anatomic Portal Of Entrance Code Sequence (Trial)"
0008,2255,SQ,AnatomicApproachDirectionCodeSequenceTrial,1,"Anatomic Approach Direction Code Sequence (Trial)"
0008,2256,ST,AnatomicPerspectiveDescriptionTrial,1,"Anatomic Perspective Description (Trial)"
0008,2257,SQ,AnatomicPerspectiveCodeSequenceTrial,1,"Anatomic Perspective Code Sequence (Trial)"
0008,2258,ST,AnatomicLocationOfExaminingInstrumentDescriptionTrial,1,"Anatomic Location Of Examining Instrument Description (Trial)"
0008,2259,SQ,AnatomicLocationOfExaminingInstrumentCodeSequenceTrial,1,"Anatomic Location Of Examining Instrument Code Sequence (Trial)"
0008,225a,SQ,AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial,1,"Anatomic Structure Space Or Region Modifier Code Sequence (Trial)"
0008,225c,SQ,OnAxisBackgroundAnatomicStructureCodeSequenceTrial,1,"On Axis Background Anatomic Structure Code Sequence (Trial)"
0008,3001,SQ,AlternateRepresentationSequence,1,"Alternate Representation Sequence"
0008,3010,UI,IrradiationEventUID,1-n,"Irradiation Event UID"
0008,3011,SQ,SourceIrradiationEventSequence,1,"Source Irradiation Event Sequence"
0008,3012,UI,RadiopharmaceuticalAdministrationEventUID,1,"Radiopharmaceutical Administration Event UID"
0008,4000,LT,IdentifyingComments,1,"Identifying Comments"
0008,9007,CS,FrameType,4,"Frame Type"
0008,9092,SQ,ReferencedImageEvidenceSequence,1,"Referenced Image Evidence Sequence"
0008,9121,SQ,ReferencedRawDataSequence,1,"Referenced Raw Data Sequence"
0008,9123,UI,CreatorVersionUID,1,"Creator-Version UID"
0008,9124,SQ,DerivationImageSequence,1,"Derivation Image Sequence"
0008,9154,SQ,SourceImageEvidenceSequence,1,"Source Image Evidence Sequence"
0008,9205,CS,PixelPresentation,1,"Pixel Presentation"
0008,9206,CS,VolumetricProperties,1,"Volumetric Properties"
0008,9207,CS,VolumeBasedCalculationTechnique,1,"Volume Based Calculation Technique"
0008,9208,CS,ComplexImageComponent,1,"Complex Image Component"
0008,9209,CS,AcquisitionContrast,1,"Acquisition Contrast"
0008,9215,SQ,DerivationCodeSequence,1,"Derivation Code Sequence"
0008,9237,SQ,ReferencedPresentationStateSequence,1,"Referenced Presentation State Sequence"
0008,9410,SQ,ReferencedOtherPlaneSequence,1,"Referenced Other Plane Sequence"
0008,9458,SQ,FrameDisplaySequence,1,"Frame Display Sequence"
0008,9459,FL,RecommendedDisplayFrameRateInFloat,1,"Recommended Display Frame Rate in Float"
0008,9460,CS,SkipFrameRangeFlag,1,"Skip Frame Range Flag"
0010,0010,PN,PatientName,1,"Patient's Name"
0010,0020,LO,PatientID,1,"Patient ID"
0010,0021,LO,IssuerOfPatientID,1,"Issuer of Patient ID"
0010,0022,CS,TypeOfPatientID,1,"Type of Patient ID"
0010,0024,SQ,IssuerOfPatientIDQualifiersSequence,1,"Issuer of Patient ID Qualifiers Sequence"
0010,0026,SQ,SourcePatientGroupIdentificationSequence,1,"Source Patient Group Identification Sequence"
0010,0027,SQ,GroupOfPatientsIdentificationSequence,1,"Group of Patients Identification Sequence"
0010,0028,US,SubjectRelativePositionInImage,3,"Subject Relative Position in Image"
0010,0030,DA,PatientBirthDate,1,"Patient's Birth Date"
0010,0032,TM,PatientBirthTime,1,"Patient's Birth Time"
0010,0033,LO,PatientBirthDateInAlternativeCalendar,1,"Patient's Birth Date in Alternative Calendar"
0010,0034,LO,PatientDeathDateInAlternativeCalendar,1,"Patient's Death Date in Alternative Calendar"
0010,0035,CS,PatientAlternativeCalendar,1,"Patient's Alternative Calendar"
0010,0040,CS,PatientSex,1,"Patient's Sex"
0010,0050,SQ,PatientInsurancePlanCodeSequence,1,"Patient's Insurance Plan Code Sequence"
0010,0101,SQ,PatientPrimaryLanguageCodeSequence,1,"Patient's Primary Language Code Sequence"
0010,0102,SQ,PatientPrimaryLanguageModifierCodeSequence,1,"Patient's Primary Language Modifier Code Sequence"
0010,0200,CS,QualityControlSubject,1,"Quality Control Subject"
0010,0201,SQ,QualityControlSubjectTypeCodeSequence,1,"Quality Control Subject Type Code Sequence"
0010,0212,UC,StrainDescription,1,"Strain Description"
0010,0213,LO,StrainNomenclature,1,"Strain Nomenclature"
0010,0214,LO,StrainStockNumber,1,"Strain Stock Number"
0010,0215,SQ,StrainSourceRegistryCodeSequence,1,"Strain Source Registry Code Sequence"
0010,0216,SQ,StrainStockSequence,1,"Strain Stock Sequence"
0010,0217,LO,StrainSource,1,"Strain Source"
0010,0218,UT,StrainAdditionalInformation,1,"Strain Additional Information"
0010,0219,SQ,StrainCodeSequence,1,"Strain Code Sequence"
0010,0221,SQ,GeneticModificationsSequence,1,"Genetic Modifications Sequence"
0010,0222,UC,GeneticModificationsDescription,1,"Genetic Modifications Description"
0010,0223,LO,GeneticModificationsNomenclature,1,"Genetic Modifications Nomenclature"
0010,0229,SQ,GeneticModificationsCodeSequence,1,"Genetic Modifications Code Sequence"
0010,1000,LO,OtherPatientIDs,1-n,"Other Patient IDs"
0010,1001,PN,OtherPatientNames,1-n,"Other Patient Names"
0010,1002,SQ,OtherPatientIDsSequence,1,"Other Patient IDs Sequence"
0010,1005,PN,PatientBirthName,1,"Patient's Birth Name"
0010,1010,AS,PatientAge,1,"Patient's Age"
0010,1020,DS,PatientSize,1,"Patient's Size"
0010,1021,SQ,PatientSizeCodeSequence,1,"Patient's Size Code Sequence"
0010,1022,DS,PatientBodyMassIndex,1,"Patient's Body Mass Index"
0010,1023,DS,MeasuredAPDimension,1,"Measured AP Dimension"
0010,1024,DS,MeasuredLateralDimension,1,"Measured Lateral Dimension"
0010,1030,DS,PatientWeight,1,"Patient's Weight"
0010,1040,LO,PatientAddress,1,"Patient's Address"
0010,1050,LO,InsurancePlanIdentification,1-n,"Insurance Plan Identification"
0010,1060,PN,PatientMotherBirthName,1,"Patient's Mother's Birth Name"
0010,1080,LO,MilitaryRank,1,"Military Rank"
0010,1081,LO,BranchOfService,1,"Branch of Service"
0010,1090,LO,MedicalRecordLocator,1,"Medical Record Locator"
0010,1100,SQ,ReferencedPatientPhotoSequence,1,"Referenced Patient Photo Sequence"
0010,2000,LO,MedicalAlerts,1-n,"Medical Alerts"
0010,2110,LO,Allergies,1-n,"Allergies"
0010,2150,LO,CountryOfResidence,1,"Country of Residence"
0010,2152,LO,RegionOfResidence,1,"Region of Residence"
0010,2154,SH,PatientTelephoneNumbers,1-n,"Patient's Telephone Numbers"
0010,2155,LT,PatientTelecomInformation,1,"Patient's Telecom Information"
0010,2160,SH,EthnicGroup,1,"Ethnic Group"
0010,2180,SH,Occupation,1,"Occupation"
0010,21a0,CS,SmokingStatus,1,"Smoking Status"
0010,21b0,LT,AdditionalPatientHistory,1,"Additional Patient History"
0010,21c0,US,PregnancyStatus,1,"Pregnancy Status"
0010,21d0,DA,LastMenstrualDate,1,"Last Menstrual Date"
0010,21f0,LO,PatientReligiousPreference,1,"Patient's Religious Preference"
0010,2201,LO,PatientSpeciesDescription,1,"Patient Species Description"
0010,2202,SQ,PatientSpeciesCodeSequence,1,"Patient Species Code Sequence"
0010,2203,CS,PatientSexNeutered,1,"Patient's Sex Neutered"
0010,2210,CS,AnatomicalOrientationType,1,"Anatomical Orientation Type"
0010,2292,LO,PatientBreedDescription,1,"Patient Breed Description"
0010,2293,SQ,PatientBreedCodeSequence,1,"Patient Breed Code Sequence"
0010,2294,SQ,BreedRegistrationSequence,1,"Breed Registration Sequence"
0010,2295,LO,BreedRegistrationNumber,1,"Breed Registration Number"
0010,2296,SQ,BreedRegistryCodeSequence,1,"Breed Registry Code Sequence"
0010,2297,PN,ResponsiblePerson,1,"Responsible Person"
0010,2298,CS,ResponsiblePersonRole,1,"Responsible Person Role"
0010,2299,LO,ResponsibleOrganization,1,"Responsible Organization"
0010,4000,LT,PatientComments,1,"Patient Comments"
0010,9431,FL,ExaminedBodyThickness,1,"Examined Body Thickness"
0012,0010,LO,ClinicalTrialSponsorName,1,"Clinical Trial Sponsor Name"
0012,0020,LO,ClinicalTrialProtocolID,1,"Clinical Trial Protocol ID"
0012,0021,LO,ClinicalTrialProtocolName,1,"Clinical Trial Protocol Name"
0012,0030,LO,ClinicalTrialSiteID,1,"Clinical Trial Site ID"
0012,0031,LO,ClinicalTrialSiteName,1,"Clinical Trial Site Name"
0012,0040,LO,ClinicalTrialSubjectID,1,"Clinical Trial Subject ID"
0012,0042,LO,ClinicalTrialSubjectReadingID,1,"Clinical Trial Subject Reading ID"
0012,0050,LO,ClinicalTrialTimePointID,1,"Clinical Trial Time Point ID"
0012,0051,ST,ClinicalTrialTimePointDescription,1,"Clinical Trial Time Point Description"
0012,0052,FD,LongitudinalTemporalOffsetFromEvent,1,"Longitudinal Temporal Offset from Event"
0012,0053,CS,LongitudinalTemporalEventType,1,"Longitudinal Temporal Event Type"
0012,0060,LO,ClinicalTrialCoordinatingCenterName,1,"Clinical Trial Coordinating Center Name"
0012,0062,CS,PatientIdentityRemoved,1,"Patient Identity Removed"
0012,0063,LO,DeidentificationMethod,1-n,"De-identification Method"
0012,0064,SQ,DeidentificationMethodCodeSequence,1,"De-identification Method Code Sequence"
0012,0071,LO,ClinicalTrialSeriesID,1,"Clinical Trial Series ID"
0012,0072,LO,ClinicalTrialSeriesDescription,1,"Clinical Trial Series Description"
0012,0081,LO,ClinicalTrialProtocolEthicsCommitteeName,1,"Clinical Trial Protocol Ethics Committee Name"
0012,0082,LO,ClinicalTrialProtocolEthicsCommitteeApprovalNumber,1,"Clinical Trial Protocol Ethics Committee Approval Number"
